code,name,biogeographic_realm,realm,subrealm
AN1,Continental Antarctica,Antarctic,Antarctica,Antarctic Continent & Islands
AN2,Antarctic Peninsula & Scotia Sea,Antarctic,Antarctica,Antarctic Continent & Islands
AN3,Subantarctic Indian Ocean Islands,Antarctic,Antarctica,Antarctic Continent & Islands
AT1,Tristan Volcanic Islands,Afrotropical,Afrotropics,Southern Afrotropics
AT2,South African Cape Shrublands & Mountain Forests,Afrotropical,Afrotropics,Southern Afrotropics
AT3,Amsterdam-Saint Paul Islands,Afrotropical,Afrotropics,Madagascar & East African Coast
AT4,Mascarene Tropical Forest Islands,Afrotropical,Afrotropics,Madagascar & East African Coast
AT5,Seychelles & Comoros Tropical Islands,Afrotropical,Afrotropics,Madagascar & East African Coast
AT6,Madagascar Island,Afrotropical,Afrotropics,Madagascar & East African Coast
AT7,East African Coastal Forests,Afrotropical,Afrotropics,Madagascar & East African Coast
AT8,Southeast African Subtropical Grasslands,Afrotropical,Afrotropics,Southern Afrotropics
AT9,Greater Karoo & Kalahari Drylands,Afrotropical,Afrotropics,Southern Afrotropics
AT10,Southwest African Coastal Drylands,Afrotropical,Afrotropics,Southern Afrotropics
AT11,Greater African Subequatorial Savannas & Mixed Woodlands,Afrotropical,Afrotropics,Sub-Equatorial Afrotropics
AT12,Victoria Basin & Albertine Rift Forests,Afrotropical,Afrotropics,Equatorial Afrotropics
AT13,South Congolian Forest-Savannas & Coastal Scarp,Afrotropical,Afrotropics,Equatorial Afrotropics
AT14,Central Congolian Tropical Forests,Afrotropical,Afrotropics,Equatorial Afrotropics
AT15,North Congolian Lowland Forests,Afrotropical,Afrotropics,Equatorial Afrotropics
AT16,Mandara Mountain & North Congolian Forest-Savannas,Afrotropical,Afrotropics,Equatorial Afrotropics
AT17,Gulf of Guinea Coastal Forests & Mangroves,Afrotropical,Afrotropics,Equatorial Afrotropics
AT18,St. Helena & Ascension Islands,Afrotropical,Afrotropics,Sub-Equatorial Afrotropics
AT19,West African Coastal Forests & Savanna,Afrotropical,Afrotropics,Equatorial Afrotropics
AT20,West Sudanian Savanna,Afrotropical,Afrotropics,Sub-Saharan Afrotropics
AT21,Lake Turkana-Sudd Grasslands Bushlands & Forests,Afrotropical,Afrotropics,Horn of Africa
AT22,South Red Sea & Gulf of Aden Coastal Drylands,Afrotropical,Afrotropics,Horn of Africa
AT23,Sahel Acacia Savannas,Afrotropical,Afrotropics,Sub-Saharan Afrotropics
AT24,Cape Verde Islands,Afrotropical,Afrotropics,Equatorial Afrotropics
AU1,New Zealand,Australasian,Australasia,New Zealand
AU2,Lord Howe & Norfolk Islands,Australasian,Australasia,New Zealand
AU3,East Australian Temperate Forests & Mountain Shrublands,Australasian,Australasia,Australia
AU4,East Australian Mediterranean Woodlands & Temperate Savannas,Australasian,Australasia,Australia
AU5,South Australian Mediterranean Forests Woodlands & Scrub,Australasian,Australasia,Australia
AU6,West Australian Dry Coastal Shrublands,Australasian,Australasia,Australia
AU7,Greater Australian Interior Desert & Shrublands,Australasian,Australasia,Australia
AU8,North Australian Tropical Savannas,Australasian,Australasia,Australia
AU9,Queensland Tropical Rainforests & Savannas,Australasian,Australasia,Australia
AU10,Coral Sea & New Caledonia Islands,Australasian,Australasia,Australasian Islands & Eastern Indonesia
AU11,Vanuatu Islands,Australasian,Australasia,Australasian Islands & Eastern Indonesia
AU12,Solomon Islands,Australasian,Australasia,Australasian Islands & Eastern Indonesia
AU13,New Guinea & Surrounding Islands,Australasian,Australasia,Australasian Islands & Eastern Indonesia
AU14,Sulawesi & Maluku Islands,Australasian,Australasia,Australasian Islands & Eastern Indonesia
AU15,Southeast Indonesian Dry Forest Islands,Australasian,Australasia,Australasian Islands & Eastern Indonesia
AU16,Subantarctic Antipodes Islands,Australasian,Australasia,New Zealand
IM1,Central Indian Ocean Islands,Indomalayan,Indomalaya,Indian Subcontinent
IM2,Indian Tropical Coastal Forests,Indomalayan,Indomalaya,Indian Subcontinent
IM3,Indian Dry Deciduous Forests,Indomalayan,Indomalaya,Indian Subcontinent
IM4,North Indomalayan Deserts & Scrub Forest,Indomalayan,Indomalaya,Indian Subcontinent
