year,indicator,area_km2
-10000,cropland,0.0
-10000,pasture,0.0
-9000,cropland,198.82
-9000,pasture,0.0
-8000,cropland,1568.46
-8000,pasture,0.39
-7000,cropland,4472.38
-7000,pasture,139.48
-6000,cropland,13156.39
-6000,pasture,873.37
-5000,cropland,41451.81
-5000,pasture,1257.29
-4000,cropland,97663.68
-4000,pasture,2178.22
-3000,cropland,184728.52
-3000,pasture,5427.2
-2000,cropland,402656.77
-2000,pasture,26089.75
-1000,cropland,654364.87
-1000,pasture,56453.9
0,cropland,1495998.92
0,pasture,236119.2
100,cropland,1514799.81
100,pasture,241655.59
200,cropland,1507729.77
200,pasture,240923.45
300,cropland,1363010.55
300,pasture,195198.12
400,cropland,1412146.42
400,pasture,193144.42
500,cropland,1430581.99
500,pasture,185082.99
600,cropland,1503600.19
600,pasture,189977.37
700,cropland,1513195.24
700,pasture,238036.49
800,cropland,1565499.32
800,pasture,320221.7
900,cropland,1749927.28
900,pasture,464138.69
1000,cropland,1844379.12
1000,pasture,554047.91
1100,cropland,2343460.8
1100,pasture,890906.96
1200,cropland,2668528.2
1200,pasture,1085431.3
1300,cropland,2698934.54
1300,pasture,1130389.77
1400,cropland,2463333.0
1400,pasture,942827.5
1500,cropland,2825550.63
1500,pasture,1062797.33
1600,cropland,2990274.6
1600,pasture,1180466.91
1700,cropland,3285297.27
1700,pasture,1346543.1
1710,cropland,3425313.52
1710,pasture,1350727.28
1720,cropland,3572496.75
1720,pasture,1383963.28
1730,cropland,3707492.72
1730,pasture,1388504.04
1740,cropland,3840038.62
1740,pasture,1408630.08
1750,cropland,3976770.24
1750,pasture,1469465.59
1760,cropland,4110420.04
1760,pasture,1529414.79
1770,cropland,4250834.72
1770,pasture,1597885.52
1780,cropland,4408629.87
1780,pasture,1742420.1
1790,cropland,4578809.13
1790,pasture,1811903.5
1800,cropland,4770825.26
1800,pasture,1807987.14
1810,cropland,4999892.27
1810,pasture,1952545.96
1820,cropland,5249890.33
1820,pasture,2016552.33
1830,cropland,5533554.74
1830,pasture,2163148.46
